"Story","Title","Result","Date","Stability","Duration (s)"
"Acadeny Choucair","Search for a automation course","PENDING","2021-08-25T23:44:27.3335515-05:00[America/Bogota]","0.0","0.22"
"Academy Choucair","Search for a automation course","SUCCESS","2021-09-22T16:22:01.0838584-05:00[America/Bogota]","0.0","45.45"
